Date;Model;Model_Short;Framework;Network;Resolution;Dataset;Hardware;Hardware_Optimization;DetectionBoxes_Precision/mAP;DetectionBoxes_Precision/mAP@.50IOU;DetectionBoxes_Precision/mAP@.75IOU;DetectionBoxes_Precision/mAP (small);DetectionBoxes_Precision/mAP (medium);DetectionBoxes_Precision/mAP (large);DetectionBoxes_Recall/AR@1;DetectionBoxes_Recall/AR@10;DetectionBoxes_Recall/AR@100;DetectionBoxes_Recall/AR@100 (small);DetectionBoxes_Recall/AR@100 (medium);DetectionBoxes_Recall/AR@100 (large)
2021-02-18 13:51;tf2oda_efficientdetd2_768x768_pedestrian-pets-only_LR08;EffD2_768x768_onlyPets;;;;;Inteli7-6700HQ-CPU;None;0.32786449206617707;0.7339160724947248;0.228465392266048;0.0;0.3301930528042603;0.2780507021217007;0.038012988807516926;0.2730413154622081;0.40181705126433603;0.0;0.4044041086252991;0.4103030303030303
2021-02-18 15:24;tf2oda_efficientdetd2_768x640_pedestrian_LR08;EffD2_768x640;;;;;Inteli7-6700HQ-CPU;None;0.5387506936439335;0.901783517890561;0.5735957586670689;0.00198019801980198;0.5449831933363037;0.4532198013158785;0.055243885587950806;0.4340818018515959;0.6081525493989222;0.0010526315789473684;0.6122695933586606;0.6036363636363637
2021-02-18 17:02;tf2oda_efficientdetd2_768x640_pedestrian_LR8;EffD2_768x640_LR8;;;;;Inteli7-6700HQ-CPU;None;0.5295829268945808;0.894805618846912;0.5483755960743943;0.01089108910891089;0.5343830341294041;0.4652696965503827;0.05663258256183501;0.4324720187923172;0.5992400165814564;0.00631578947368421;0.6028704094554664;0.6284848484848485
2021-02-19 19:41;tf2oda_efficientdetd2_768x640_pedestrian_LR008;EffD2_768x640_LR008;;;;;Inteli7-6700HQ-CPU;None;0.5297786217621332;0.9031491239791078;0.5573135128196212;0.007920792079207921;0.5350416555878801;0.43755327789725074;0.05359264888766063;0.42374602735940303;0.5935746856432224;0.00736842105263158;0.5976713099760799;0.5781818181818182
2021-02-22 12:24;tf2oda_efficientdetd2_768x768_pedestrian-pets-only_LR08;EffD2_768x768_onlyPets;;;;;NVIDIA_RTX2060;None;0.32786449206617707;0.7339160724947248;0.228465392266048;0.0;0.3301930528042603;0.2780507021217007;0.038012988807516926;0.2730413154622081;0.40181705126433603;0.0;0.4044041086252991;0.4103030303030303
2021-02-22 12:42;tf2oda_efficientdetd2_768x640_pedestrian_LR08;EffD2_768x640;;;;;NVIDIA_RTX2060;None;0.5387506936439335;0.901783517890561;0.5735957586670689;0.00198019801980198;0.5449831933363037;0.4532198013158785;0.055243885587950806;0.4340818018515959;0.6081525493989222;0.0010526315789473684;0.6122695933586606;0.6036363636363637
2021-02-22 12:59;tf2oda_efficientdetd2_768x640_pedestrian_LR008;EffD2_768x640_LR008;;;;;NVIDIA_RTX2060;None;0.5297786217621332;0.9031491239791078;0.5573135128196212;0.007920792079207921;0.5350416555878801;0.43755327789725074;0.05359264888766063;0.42374602735940303;0.5935746856432224;0.00736842105263158;0.5976713099760799;0.5781818181818182
2021-02-22 13:15;tf2oda_efficientdetd2_768x640_pedestrian_LR8;EffD2_768x640_LR8;;;;;NVIDIA_RTX2060;None;0.5295829268945808;0.894805618846912;0.5483755960743943;0.01089108910891089;0.5343830341294041;0.4652696965503827;0.05663258256183501;0.4324720187923172;0.5992400165814564;0.00631578947368421;0.6028704094554664;0.6284848484848485
2021-02-22 18:06;tf2oda_ssdmobilenetv2_300x300_pedestrian_D100_LR08;SSDMobNet2_300x300_D100;;;;;Inteli7-6700HQ-CPU;None;0.3290883842408561;0.7198528226119406;0.2464775188229905;0.008745874587458746;0.3303185050927418;0.3469721627816285;0.04175763437888628;0.340894016857814;0.44163327345585185;0.008421052631578949;0.4439144505417195;0.4945454545454545
2021-02-26 11:08;tf2oda_efficientdetd1_640x480_pedestrian_LR02;EffD1_640x480_LR02;;;;;Inteli7-6700HQ-CPU;None;0.4942542160326201;0.8997251609690776;0.4811888737750471;0.03259864949002981;0.5005978210049524;0.3123592108321218;0.050559624153654836;0.40571369351941416;0.5675763437888628;0.040540540540540536;0.5719401727406783;0.5377049180327869
2021-02-26 11:27;tf2oda_efficientdetd0_512x512_pedestrian_LR02;EffD0_512x512_LR02;;;;;Inteli7-6700HQ-CPU;None;0.3242285557155236;0.8202888352112748;0.10536601944943835;0.00814081408140814;0.3312347972886382;0.22509272889770865;0.04083874533646538;0.2963589885311593;0.4029362995716458;0.00900900900900901;0.40538585773470953;0.47704918032786886
2021-02-26 11:46;tf2oda_efficientdetd0_512x384_pedestrian_LR02;EffD0_512x384_LR02;;;;;Inteli7-6700HQ-CPU;None;0.43568798662201114;0.8527842207170865;0.3892054284158471;0.038571834248961545;0.44196524707919893;0.2802212357577144;0.0481069503938096;0.3762401547602598;0.5173552577034684;0.060360360360360354;0.5211853100203638;0.49590163934426235
